DATE_CLMN,GEOGRAPHY,GEOGRAPHY_CODE,TOTAL_RESIDENTS,MAIN_LANGUAGE_ENGLISH,MAIN_LANGAUGE_NOT_ENGLISH,SPEAK_ENGLISH_VERY_WELL,SPEAK_ENGLISH_WELL,SPEAKS_ENGLISH_NOT_WELL,CANNOT_SPEAK_ENGLISH
2021,Hartlepool,E06000001,89420,87544,1876,633,658,475,110
2021,Merthyr Tydfil,W06000024,56957,54784,2173,778,765,514,116
2021,Powys,W06000023,129902,127410,2492,1002,952,439,99
2021,Newport,W06000022,153876,143840,10036,3911,3807,1962,356
2021,Monmouthshire,W06000021,90691,89231,1460,786,489,159,26
2021,Torfaen,W06000020,89379,88059,1320,565,515,182,58
2021,Blaenau Gwent,W06000019,64796,63594,1202,429,464,254,55
2021,Caerphilly,W06000018,170688,168653,2035,950,694,316,75
2021,Rhondda Cynon Taff,W06000016,230317,226867,3450,1642,1136,554,118
2021,Cardiff,W06000015,351240,320150,31090,13717,10673,5698,1002
2021,Vale of Glamorgan,W06000014,128080,125798,2282,1348,615,248,71
2021,Bridgend,W06000013,141292,138807,2485,1100,859,421,105
2021,Neath Port Talbot,W06000012,138321,136319,2002,907,633,359,103
2021,Swansea,W06000011,231889,220870,11019,4669,3852,2092,406
2021,Carmarthenshire,W06000010,182720,178287,4433,1695,1425,1041,272
2021,Pembrokeshire,W06000009,120208,118571,1637,780,500,285,72
2021,Ceredigion,W06000008,69910,67848,2062,1208,602,225,27
2021,Wrexham,W06000006,131084,124402,6682,2307,2627,1490,258
2021,Flintshire,W06000005,150560,145037,5523,1954,2142,1197,230
2021,Denbighshire,W06000004,93062,91451,1611,737,574,241,59
2021,Conwy,W06000003,111805,109757,2048,1018,662,304,64
2021,Gwynedd,W06000002,114307,111446,2861,1437,935,413,76
2021,Isle of Anglesey,W06000001,67086,66462,624,305,196,101,22
2021,Westminster,E09000033,198988,146375,52613,30418,14911,6296,988
2021,Wandsworth,E09000032,315844,261751,54093,30641,16100,6292,1060
2021,Waltham Forest,E09000031,266638,206863,59775,22586,24055,11456,1678
2021,Tower Hamlets,E09000030,298754,218131,80623,37285,24671,15566,3101
2021,Sutton,E09000029,202254,173379,28875,15289,9709,3363,514
2021,Southwark,E09000028,297729,244002,53727,27450,16058,8603,1616
2021,Richmond upon Thames,E09000027,188888,167514,21374,13209,5731,2087,347
2021,Redbridge,E09000026,297637,218924,78713,32968,30036,13705,2004
2021,Newham,E09000025,336598,220022,116576,43497,45802,23756,3521
2021,Merton,E09000024,206967,162563,44404,20874,15867,6715,948
2021,Lewisham,E09000023,288893,242028,46865,22055,15373,7987,1450
2021,Lambeth,E09000022,308298,253317,54981,25584,18080,9452,1865
2021,Kingston upon Thames,E09000021,162502,134395,28107,14243,9451,3880,533
2021,Kensington and Chelsea,E09000020,139648,106682,32966,20887,8669,2998,412
2021,Islington,E09000019,209638,169831,39807,22659,10992,5286,870
2021,Hounslow,E09000018,277408,198853,78555,36348,28032,11898,2277
2021,Hillingdon,E09000017,294238,229263,64975,30038,23689,9509,1739
2021,Havering,E09000016,252282,227346,24936,11539,9198,3567,632
2021,Harrow,E09000015,251844,174443,77401,34239,29168,11974,2020
2021,Haringey,E09000014,255132,185666,69466,25880,24854,15762,2970
2021,Hammersmith and Fulham,E09000013,177638,139670,37968,22711,10975,3737,545
2021,Hackney,E09000012,249197,199667,49530,23015,14674,9972,1869
2021,Greenwich,E09000011,277592,227031,50561,24449,16854,7724,1534
2021,Enfield,E09000010,317640,242839,74801,25292,28460,17997,3052
2021,Ealing,E09000009,354356,244855,109501,45696,40933,19432,3440
2021,Croydon,E09000008,375572,315336,60236,27514,21728,9490,1504
2021,Camden,E09000007,204034,160655,43379,25430,11891,5198,860
2021,Bromley,E09000006,318609,292904,25705,14952,7604,2707,442
