DATE,LA21_NAME,LA21_CD,NO_QUALIFICATIONS,APPRENTICESHIP,LEVEL_4_QUALIFICATIONS_OR_ABOVE,DISTRICT TOTAL,NO_QUALIFICATIONS_PCT,NO_QUALIFICATIONS_INDEX,APPRENTICESHIP_PCT,APPRENTICESHIP_INDEX,LEVEL_4_QUALIFICATIONS_OR_ABOVE_PCT,LEVEL_4_QUALIFICATIONS_OR_ABOVE_INDEX
2023,Hartlepool,E06000001,286,28,459,1182,0.24,1.22,0.02,1.22,0.39,0.91
2023,Merthyr Tydfil,W06000024,132,25,345,685,0.19,0.97,0.04,1.88,0.5,1.18
2023,Powys,W06000023,238,75,323,1045,0.23,1.15,0.07,3.69,0.31,0.72
2023,Newport,W06000022,2223,176,3289,8737,0.25,1.28,0.02,1.04,0.38,0.88
2023,Monmouthshire,W06000021,144,24,530,966,0.15,0.75,0.02,1.28,0.55,1.28
2023,Torfaen,W06000020,231,37,386,1008,0.23,1.16,0.04,1.89,0.38,0.9
2023,Blaenau Gwent,W06000019,129,15,179,473,0.27,1.38,0.03,1.63,0.38,0.88
2023,Caerphilly,W06000018,298,38,504,1269,0.23,1.19,0.03,1.54,0.4,0.93
2023,Rhondda Cynon Taf,W06000016,540,67,1243,2804,0.19,0.97,0.02,1.23,0.44,1.04
2023,Cardiff,W06000015,5110,480,11838,26826,0.19,0.96,0.02,0.92,0.44,1.03
2023,Vale of Glamorgan,W06000014,366,38,1133,2151,0.17,0.86,0.02,0.91,0.53,1.23
2023,Bridgend,W06000013,314,42,840,1715,0.18,0.92,0.02,1.26,0.49,1.15
2023,Neath Port Talbot,W06000012,396,30,582,1781,0.22,1.12,0.02,0.87,0.33,0.76
2023,Swansea,W06000011,1576,150,3574,8139,0.19,0.98,0.02,0.95,0.44,1.03
2023,Carmarthenshire,W06000010,331,48,939,1875,0.18,0.89,0.03,1.32,0.5,1.17
2023,Pembrokeshire,W06000009,182,26,460,934,0.19,0.98,0.03,1.43,0.49,1.15
2023,Ceredigion,W06000008,109,16,486,910,0.12,0.6,0.02,0.9,0.53,1.25
2023,Wrexham,W06000006,283,45,923,1766,0.16,0.81,0.03,1.31,0.52,1.22
2023,Flintshire,W06000005,250,31,507,1154,0.22,1.09,0.03,1.38,0.44,1.03
2023,Denbighshire,W06000004,195,45,602,1289,0.15,0.76,0.03,1.8,0.47,1.09
2023,Conwy,W06000003,274,40,609,1302,0.21,1.06,0.03,1.58,0.47,1.09
2023,Gwynedd,W06000002,275,43,837,1652,0.17,0.84,0.03,1.34,0.51,1.18
2023,Isle of Anglesey,W06000001,76,19,119,345,0.22,1.11,0.06,2.83,0.34,0.81
2023,Somerset,E06000066,1082,155,3426,6755,0.16,0.81,0.02,1.18,0.51,1.19
2023,Tewkesbury,E07000083,184,87,743,1503,0.12,0.62,0.06,2.98,0.49,1.16
2023,Stroud,E07000082,130,22,609,1007,0.13,0.65,0.02,1.12,0.6,1.41
2023,Gloucester,E07000081,1072,129,2749,6360,0.17,0.85,0.02,1.04,0.43,1.01
2023,Forest of Dean,E07000080,136,20,197,545,0.25,1.26,0.04,1.89,0.36,0.85
2023,Cotswold,E07000079,130,43,560,998,0.13,0.66,0.04,2.22,0.56,1.31
2023,Cheltenham,E07000078,555,65,2078,3880,0.14,0.72,0.02,0.86,0.54,1.25
2023,West Devon,E07000047,65,10,120,291,0.22,1.13,0.03,1.77,0.41,0.96
2023,Torridge,E07000046,64,10,116,293,0.22,1.1,0.03,1.76,0.4,0.93
2023,Teignbridge,E07000045,161,23,365,851,0.19,0.96,0.03,1.39,0.43,1
2023,South Hams,E07000044,80,11,278,507,0.16,0.8,0.02,1.12,0.55,1.28
2023,North Devon,E07000043,127,44,471,913,0.14,0.7,0.05,2.48,0.52,1.21
2023,Mid Devon,E07000042,95,11,200,460,0.21,1.04,0.02,1.23,0.43,1.02
2023,Exeter,E07000041,489,94,2970,5382,0.09,0.46,0.02,0.9,0.55,1.29
2023,East Devon,E07000040,164,42,541,1190,0.14,0.7,0.04,1.82,0.45,1.06
2023,Dorset,E06000059,497,181,1672,3546,0.14,0.71,0.05,2.63,0.47,1.1
2023,"Bournemouth, Christchurch and Poole",E06000058,1428,206,5839,10794,0.13,0.67,0.02,0.98,0.54,1.26
2023,Wiltshire,E06000054,1362,533,3714,8491,0.16,0.81,0.06,3.23,0.44,1.02
2023,Isles of Scilly,E06000053,0,0,3,6,0,0,0,0,0.5,1.17
2023,Cornwall,E06000052,572,64,1600,3410,0.17,0.85,0.02,0.97,0.47,1.1
2023,Swindon,E06000030,3456,598,7884,20589,0.17,0.85,0.03,1.49,0.38,0.9
2023,Torbay,E06000027,334,49,835,1893,0.18,0.89,0.03,1.33,0.44,1.03
2023,Plymouth,E06000026,832,128,2051,4863,0.17,0.86,0.03,1.35,0.42,0.99
2023,South Gloucestershire,E06000025,840,157,5099,8567,0.1,0.5,0.02,0.94,0.6,1.39
2023,North Somerset,E06000024,452,49,1337,2680,0.17,0.85,0.02,0.94,0.5,1.17
2023,"Bristol, City of",E06000023,3698,461,11314,25042,0.15,0.75,0.02,0.95,0.45,1.06
2023,Bath and North East Somerset,E06000022,413,60,2931,5626,0.07,0.37,0.01,0.55,0.52,1.22
2023,Worthing,E07000229,592,63,1725,3484,0.17,0.86,0.02,0.93,0.5,1.16
2023,Mid Sussex,E07000228,435,64,2597,4265,0.1,0.51,0.02,0.77,0.61,1.42
2023,Horsham,E07000227,331,52,1749,3048,0.11,0.55,0.02,0.88,0.57,1.34
2023,Crawley,E07000226,2216,249,5867,13724,0.16,0.82,0.02,0.93,0.43,1
2023,Chichester,E07000225,233,36,955,1743,0.13,0.67,0.02,1.06,0.55,1.28
2023,Arun,E07000224,408,45,927,2116,0.19,0.97,0.02,1.09,0.44,1.02
2023,Adur,E07000223,222,26,443,1099,0.2,1.02,0.02,1.22,0.4,0.94
2023,Woking,E07000217,1714,166,5449,10888,0.16,0.79,0.02,0.78,0.5,1.17
2023,Waverley,E07000216,347,49,1591,2942,0.12,0.6,0.02,0.86,0.54,1.26
2023,Tandridge,E07000215,311,44,1439,2569,0.12,0.61,0.02,0.88,0.56,1.31
2023,Surrey Heath,E07000214,830,117,3477,6320,0.13,0.66,0.02,0.95,0.55,1.29
2023,Spelthorne,E07000213,1095,183,5909,10126,0.11,0.55,0.02,0.93,0.58,1.36
2023,Runnymede,E07000212,489,102,3723,6649,0.07,0.37,0.02,0.79,0.56,1.31
2023,Reigate and Banstead,E07000211,802,131,5554,8695,0.09,0.47,0.02,0.78,0.64,1.49
2023,Mole Valley,E07000210,257,51,1231,2148,0.12,0.6,0.02,1.22,0.57,1.34
2023,Guildford,E07000209,599,116,4838,8174,0.07,0.37,0.01,0.73,0.59,1.38
2023,Epsom and Ewell,E07000208,599,89,4720,7245,0.08,0.42,0.01,0.63,0.65,1.52
2023,Elmbridge,E07000207,756,96,4671,7195,0.11,0.53,0.01,0.69,0.65,1.52
2023,West Oxfordshire,E07000181,215,47,849,1588,0.14,0.68,0.03,1.52,0.53,1.25
2023,Vale of White Horse,E07000180,413,130,2624,4192,0.1,0.5,0.03,1.6,0.63,1.46
2023,South Oxfordshire,E07000179,354,58,2150,3414,0.1,0.52,0.02,0.87,0.63,1.47
2023,Oxford,E07000178,3172,364,10047,20173,0.16,0.79,0.02,0.93,0.5,1.16
2023,Cherwell,E07000177,1336,223,3487,7394,0.18,0.91,0.03,1.55,0.47,1.1
2023,Tunbridge Wells,E07000116,396,62,1988,3383,0.12,0.59,0.02,0.94,0.59,1.37
2023,Tonbridge and Malling,E07000115,359,43,1708,2960,0.12,0.61,0.01,0.75,0.58,1.35
2023,Thanet,E07000114,464,71,1193,2548,0.18,0.92,0.03,1.43,0.47,1.09
2023,Swale,E07000113,394,49,765,1876,0.21,1.06,0.03,1.34,0.41,0.95
2023,Folkestone and Hythe,E07000112,782,415,1026,3559,0.22,1.11,0.12,6,0.29,0.67
2023,Sevenoaks,E07000111,272,46,1744,2739,0.1,0.5,0.02,0.86,0.64,1.49
2023,Maidstone,E07000110,1188,266,2781,6442,0.18,0.93,0.04,2.12,0.43,1.01
2023,Gravesham,E07000109,2079,196,3413,9365,0.22,1.12,0.02,1.08,0.36,0.85
2023,Dover,E07000108,332,80,660,1824,0.18,0.92,0.04,2.26,0.36,0.85
2023,Dartford,E07000107,888,141,4848,8293,0.11,0.54,0.02,0.87,0.58,1.37
2023,Canterbury,E07000106,527,76,2411,5342,0.1,0.5,0.01,0.73,0.45,1.06
2023,Ashford,E07000105,1315,183,2490,6182,0.21,1.07,0.03,1.52,0.4,0.94
2023,Winchester,E07000094,412,82,1718,3197,0.13,0.65,0.03,1.32,0.54,1.26
