DATE,LA21_NAME,LA21_CD,PROVIDES_NO_UNPAID_CARE,PROVIDES_19_OR_LESS_HOURS_UNPAID_CARE_A_WEEK,PROVIDES_20_TO_49_HOURS_UNPAID_CARE_A_WEEK,PROVIDES_50_OR_MORE_HOURS_UNPAID_CARE_A_WEEK,TOTAL_PROVIDING,TOTAL_SOUTH_ASIAN_POPULATION ,PERCENTAGE_OF_SOUTH_ASIAN_POPULATION,INDEX,PROVIDES_19_OR_LESS_HOURS_UNPAID_CARE_A_WEEK_PROP,PROVIDES_20_TO_49_HOURS_UNPAID_CARE_A_WEEK_PROP,PROVIDES_50_OR_MORE_HOURS_UNPAID_CARE_A_WEEK_PROP
2021,Hartlepool,E06000001,177,6,2,16,24,201,12%,1.01,2.99%,1.00%,7.96%
2021,Merthyr Tydfil,W06000024,68,4,0,7,11,79,14%,1.18,5.06%,0.00%,8.86%
2021,Powys,W06000023,120,7,3,4,14,134,10%,0.89,5.22%,2.24%,2.99%
2021,Newport,W06000022,1443,59,49,84,192,1635,12%,1,3.61%,3.00%,5.14%
2021,Monmouthshire,W06000021,89,8,0,1,9,98,9%,0.78,8.16%,0.00%,1.02%
2021,Torfaen,W06000020,122,7,5,2,14,136,10%,0.87,5.15%,3.68%,1.47%
2021,Blaenau Gwent,W06000019,86,4,2,5,11,97,11%,0.96,4.12%,2.06%,5.15%
2021,Caerphilly,W06000018,212,6,3,14,23,235,10%,0.83,2.55%,1.28%,5.96%
2021,Rhondda Cynon Taf,W06000016,346,22,8,17,47,393,12%,1.02,5.60%,2.04%,4.33%
2021,Cardiff,W06000015,4101,144,147,198,489,4590,11%,0.9,3.14%,3.20%,4.31%
2021,Vale of Glamorgan,W06000014,285,18,10,10,38,323,12%,1,5.57%,3.10%,3.10%
2021,Bridgend,W06000013,233,11,6,15,32,265,12%,1.03,4.15%,2.26%,5.66%
2021,Neath Port Talbot,W06000012,240,12,12,9,33,273,12%,1.03,4.40%,4.40%,3.30%
2021,Swansea,W06000011,1217,59,35,49,143,1360,11%,0.89,4.34%,2.57%,3.60%
2021,Carmarthenshire,W06000010,205,11,8,15,34,239,14%,1.21,4.60%,3.35%,6.28%
